moties_small,id,moties_volledig
0,2024D03656,"verzoekt de regering een plan in te dienen om het structureel inzetten en uitbuiten van arbeidsmigranten bij slachthuizen uit te bannen en in te zetten op een sector met goed en gezond werk,"
1,2024D03626,"verzoekt de regering verzamelde dierendata en DNA-gegevens te koppelen aan de registratie van fokker tot eigenaar,"
2,2024D03663,"spreekt uit dat het wenselijk is zo snel mogelijk te komen met een stikstofreductieplan,"
3,2024D03708,verzoekt de regering om de adviescommissie Actieplan biologische landbouw op te roepen om het onderwerp 'gelijk EU-speelveld' prioriteit te geven
4,2024D03707,"verzoekt de regering op korte termijn afspraken te maken met provincies en terreinbeherende organisaties over volledige, adequate en eenduidige monitoring en beoordeling van de ontwikkeling van de natuurkwaliteit en het onderliggende ecosysteem ten opzichte van de referentiedatum, en de Kamer hierover te informeren voor het commissiedebat Stikstof, NPLG en natuur,   "
5,2024D03701,"verzoekt de regering het gat in de uitkoopregeling te dichten dat het mogelijk maakt zowel uit te kopen als uit te breiden, bijvoorbeeld door het invoeren van een vergunningplicht bij intern salderen,"
6,2024D03704,"verzoekt de regering te inventariseren hoe slachtoffers van huiselijk geweld en hun huisdieren in alle gemeenten kunnen worden geholpen,"
7,2024D03691,"verzoekt de regering de mogelijkheden te onderzoeken om de werkdruk voor dierenartsen te verlagen en meer dierenartsen in het vak te krijgen en te behouden,"
8,2024D03681,"verzoekt de regering de in voorbereiding zijnde Maatregel Gebiedsge-richte Beëindiging zo vorm te geven dat deze relatief aantrekkelijker is dan de Lbv en Lbv+ voor verouderde agrarische bedrijven, en de uitgangs-punten met de Kamer te delen voorafgaand aan de notificatie van de regeling in Brussel,"
9,2024D03687,verzoekt de regering medio 2024 met maatregelen en/of wetgeving te komen die effectief is gebleken hier en in het buitenland
10,2024D03690,"verzoekt de regering zo snel mogelijk alle btw-tarieven voor diergenees-kundige handelingen voor gezelschapsdieren vast te zetten op 9%,"
11,2024D03662,"spreekt uit dat het wenselijk is om op een zo kort mogelijke termijn te komen tot een integrale visie op natuur, landbouw en platteland, die als onderlegger kan dienen voor de vraag hoe we uit de stikstofcrisis komen,"
12,2024D03671,"verzoekt de regering bufferstroken van maximaal 100 meter te hanteren,"
13,2024D03711,"verzoekt de regering om een faciliterende rol te hebben en kennis aan te bieden over mogelijkheden ten aanzien van de afspraken; verzoekt de regering het initiatief te nemen om met andere Noord-Europese landen de kansen voor grensoverschrijdende duurzaamheidsaf-spraken te bespreken, bijvoorbeeld via de organisatie van een conferentie; verzoekt de regering om ervoor te pleiten dat er in de Europese voedsel-strategie een rol moet zijn voor afspraken in de keten ten aanzien van verduurzaming en verdienvermogen,"
14,2024D03645,"verzoekt de regering om de continuering te borgen van eigen biologisch gecertificeerde pachtgronden die al biologisch gecertificeerd zijn, ook na transactie naar een nieuwe pachter,"
15,2024D03647,"verzoekt de regering om ten minste twintig jaar garant te staan voor het Aanvalsplan Grutto, mits provincies even zo lange beheercontracten afsluiten, zodat boeren zekerheid wordt geboden en de weidevogelpopu-latie kan worden hersteld,"
16,2024D03651,"verzoekt de regering om de verplaatsingsregeling niet uit te voeren en de beschikbare middelen hiervoor in te zetten voor stikstofreducerende maatregelen, zoals vrijwillige opkoop,"
17,2024D03646,"verzoekt de regering in kaart te brengen van welke regelingen biologische boeren geen gebruik kunnen maken, omdat ze voorlopers zijn, en waar regeldruk voor biologische boeren verminderd kan worden, omdat ze al voldoen aan de Skal-voorwaarden,"
18,2024D03648,"verzoekt de regering om structureel voldoende middelen te alloceren voor de aanleg en het onderhoud van landschapselementen, bijvoorbeeld middels een landschapsfonds, waarop landeigenaren ten minste twintig jaar aanspraak kunnen maken op een behoorlijke vergoeding, en deze te dekken uit het transitiefonds; verzoekt de regering om hiervoor nadere regels en voorwaarden op te stellen en bijvoorbeeld de Ecologische Autoriteit aan te wijzen als beheerder,"
19,2024D03644,"verzoekt de regering om biologisch onderwijs een integraal onderdeel te maken van de curricula van landbouwscholen en ten minste een vak biologische landbouw te verplichten,"
20,2024D03633,"verzoekt de regering de mogelijkheden te onderzoeken tot het instellen van prijsplafonds voor medisch noodzakelijke behandelingen door dierenartsen,"
21,2024D03641,"verzoekt de regering om een voorstel uit te werken om de Nederlandse groente- en zaadveredeling onder de reikwijdte van de Wet Vifo te laten vallen, bijvoorbeeld door per AMvB de sector aan te wijzen als vitale sector of door groente- en zaadtechnologie als sensitieve technologie aan te wijzen,   "
22,2024D03637,"verzoekt de regering binnen de huidige aanpak en/of preventie van huiselijk geweld ook dierenmishandeling mee te nemen en te zorgen dat zodra bijvoorbeeld vrouwen en/of kinderen in veiligheid worden gebracht er geen dieren mogen achterblijven bij de agressor en vice versa,"
23,2024D03632,"verzoekt de regering in te (laten) grijpen inzake de massale overnames van dierenartspraktijken door twee grote private-equitypartijen en (voor velen) onbetaalbare vercommercialisering van noodzakelijke, veterinaire zorg aan hulpbehoevende dieren,"
24,2024D03629,"verzoekt de regering Staatsbosbeheer te korten op geldstromen vanuit het Rijk, mocht men geen einde maken aan de decennialange hongerdood van de opgesloten dieren in de Oostvaardersplassen,"
25,2024D03628,"verzoekt de regering om dierenwelzijn te laten prevaleren boven milieueisen en de voor dieren verstikkende luchtwassers,"
26,2024D03625,"verzoekt de regering na zware dierenmishandeling de 'one strike out'-optie toe te (laten) passen,"
27,2024D03627,"verzoekt de regering, mede in het kader van het stalbrandpreventieplan, om een pilot met de 'Stable Safe'-systemen en valwanden waardoor  dieren kunnen vluchten in plaats van stikken"
28,2024D03501,"verzoekt de regering om in samenspraak met de politie te bezien op welke manier herkenning van psychische problemen onderdeel kan zijn van het curriculum bij de scholing van politieagenten op de Politieacademie; verzoekt de regering de Kamer hierover te informeren voor het zomer-reces van 2024,"
29,2024D03624,"verzoekt de regering de voorgenomen uitbreiding van de bufferzones rondom Natura 2000-gebieden en beekdalen te schrappen,"
30,2024D03504,"verzoekt de regering op de kortst mogelijke termijn het wetsvoorstel in de daarvoor bestemde procedure te brengen en vervolgens bij de Tweede Kamer in te dienen,"
31,2024D03502,"verzoekt de regering om een onafhankelijke gezaghebbende persoon of instantie in te schakelen die als mediator samen met de korpsleiding gaat zorgen dat het wel tot rehabilitatie van de agenten uit de documentaire De blauwe familie gaat komen,"
32,2024D03509,"verzoekt de regering om in navolging van Duitsland en Oostenrijk het scanderen van de leus «From the river to the sea {» bij demonstraties in antisemitische context te plaatsen en dit in het handelingsperspectief op te nemen,"
33,2024D03623,"verzoekt de regering de Kamer een compleet overzicht te verstrekken met betrekking tot de algemene kosten van producten van eigen bodem,"
34,2024D03507,"verzoekt de regering om het Israëlische tapsysteem niet aan te schaffen en deze overeenkomst op te zeggen,"
35,2024D03506,"verzoekt de regering om te onderzoeken wat de gevaren zijn van het uitbesteden van ons tapsysteem en te onderzoeken of Nederland een eigen tapsysteem kan ontwikkelen, en de Kamer hierover in het volgende halfjaarbericht te informeren,"
36,2024D03474,"verzoekt de regering , in afstemming met de VN-coördinator, in inter-nationaal verband proactief draagvlak te zoeken voor de totstandkoming van een internationaal herstelprogramma gericht op het herstel en de wederopbouw van Gaza; verzoekt de regering tevens een actieve voortrekkersrol te nemen in de realisatie en de uitvoering van dit programma,"
37,2024D03468,"verzoekt de regering de extra financiering voor eerstejaarsasielopvang dit jaar niet uit het ODA-budget te betalen,"
38,2024D03463,"verzoekt de regering bij het sluiten van handelsverdragen expliciet te kijken naar de kwetsbare positie van boeren in fragiele regio’s,"
39,2024D03470,"verzoekt de regering om vanaf de Voorjaarsnota 2025 de kosten van eerstejaarsasielopvang niet langer uit het ODA-budget te betalen; verzoekt de regering de dekking hiervoor te zoeken in de Defensiebe-groting en het Defensiematerieelbegrotingsfonds,"
40,2024D03464,"verzoekt de regering de mogelijkheden voor voedsel- en hulppakketten aan de Afghaanse bevolking te benutten en hierover de Kamer te informeren,"
41,2024D03461,"verzoekt de regering een kwantitatieve vergelijking te maken van de publieke innovatiesubsidies per sector in de VS en Azië; verzoekt de regering tevens te onderzoeken op welke wijze de Neder-landse en Europese staatssteunwetgeving aangepast zou kunnen worden om beter te kunnen concurreren met bijvoorbeeld de VS en Azië,"
42,2024D03467,"verzoekt de regering Nederland niet te laten toetredent tot het verdrag inzake exportcontrole in het defensiedomein en alle gesprekken hieromtrent te staken,"
43,2024D03471,"verzoekt de regering om het bestaande advies aan bedrijven en financiële instellingen met activiteiten in illegale nederzettingen aan te scherpen en dit op een meer proactieve manier onder Nederlandse bedrijven en financiële instellingen te verspreiden,"
44,2024D03477,"spreekt uit dat het wenselijk is dat het koningshuis alle banden met het World Economic Forum verbreekt,"
45,2024D03472,"verzoekt de regering te bezien hoe het ontmoedigingsbeleid kan worden gekoppeld aan een concreet handhavingsinstrument, zoals bijvoorbeeld het ontzeggen van toegang tot een exportkredietverzekering voor activiteiten in illegale nederzettingen,"
46,2024D03459,"verzoekt de regering het VN-onderzoek naar de UNRWA -medewerkers nauwlettend te volgen en de Kamer hierover te informeren; verzoekt de regering om het besluit omtrent de toekomstige financiering van UNRWA ongedaan te maken en zolang het onderzoek loopt verzoeken van UNRWA per geval te beoordelen en niet bij voorbaat af te wijzen en daarbij het gebrek aan alternatieven mee te wegen,"
47,2024D03465,"verzoekt de regering bij het vaststellen van een handelsverdrag of ontwikkelingssamenwerking meer oog te hebben voor de lokale cultuur, tradities en overtuigingen en daarbij geen ideologieën als voorwaarde te stellen voor het verkrijgen van steun of handelsovereenkomsten,"
48,2024D03453,"verzoekt de regering de soevereiniteit en energiemix van landen te respecteren en te stoppen met klimaatbeleid in combinatie- en ontwikkelingslanden,"
