,id,title,link,date,indieners (leden),indieners (partijen),PVV,GroenLinks-PvdA,VVD,NSC,D66,BBB,CDA,SP,ChristenUnie,DENK,PvdD,SGP,FVD,Volt,JA21,moties_volledig
0.0,2024D03656,Motie van het lid Tjeerd de Groot c.s. over een plan om het structureel inzetten en uitbuiten van arbeidsmigranten bij slachthuizen uit te bannen,/kamerstukken/moties/detail?id=2024Z01649&did=2024D03656,1 februari 2024,"['Tjeerd de Groot', 'Pieter Grinwis', 'Laura Bromet']","['D66', 'ChristenUnie', 'GroenLinks-PvdA']",-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,"verzoekt de regering een plan in te dienen om het structureel inzetten en uitbuiten van arbeidsmigranten bij slachthuizen uit te bannen en in te zetten op een sector met goed en gezond werk,"
1.0,2024D03626,Motie van de leden Graus en Kostic over verzamelde dierendata en DNA-gegevens koppelen aan de registratie van fokker tot eigenaar,/kamerstukken/moties/detail?id=2024Z01627&did=2024D03626,1 februari 2024,"['Dion Graus', 'Ines Kostić']","['PVV', 'PvdD']",1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,"verzoekt de regering verzamelde dierendata en DNA-gegevens te koppelen aan de registratie van fokker tot eigenaar,"
2.0,2024D03663,Motie van het lid Holman over uitspreken dat het wenselijk is om zo snel mogelijk te komen met een stikstofreductieplan,/kamerstukken/moties/detail?id=2024Z01652&did=2024D03663,1 februari 2024,['Harm Holman'],['NSC'],-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,"spreekt uit dat het wenselijk is zo snel mogelijk te komen met een stikstofreductieplan,"
3.0,2024D03708,"Motie van het lid Koekkoek over meer prioriteit bij de adviescommissie Actieplan biologische landbouw voor het onderwerp ""gelijk EU-speelveld""",/kamerstukken/moties/detail?id=2024Z01678&did=2024D03708,1 februari 2024,['Marieke Koekkoek'],['Volt'],-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,verzoekt de regering om de adviescommissie Actieplan biologische landbouw op te roepen om het onderwerp 'gelijk EU-speelveld' prioriteit te geven
4.0,2024D03707,Motie van het lid Flach c.s. over afspraken over monitoring en beoordeling van de ontwikkeling van de natuurkwaliteit en het onderliggende ecosysteem ten opzichte van de referentiedatum,/kamerstukken/moties/detail?id=2024Z01677&did=2024D03707,1 februari 2024,"['André Flach', 'Eline Vedder', 'Pieter Grinwis']","['SGP', 'CDA', 'ChristenUnie']",1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,"verzoekt de regering op korte termijn afspraken te maken met provincies en terreinbeherende organisaties over volledige, adequate en eenduidige monitoring en beoordeling van de ontwikkeling van de natuurkwaliteit en het onderliggende ecosysteem ten opzichte van de referentiedatum, en de Kamer hierover te informeren voor het commissiedebat Stikstof, NPLG en natuur,   "
5.0,2024D03701,Motie van het lid Ouwehand over het gat in de uitkoopregeling dichten dat het mogelijk maakt zowel uit te kopen als uit te breiden,/kamerstukken/moties/detail?id=2024Z01670&did=2024D03701,1 februari 2024,['Esther Ouwehand'],['PvdD'],-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,"verzoekt de regering het gat in de uitkoopregeling te dichten dat het mogelijk maakt zowel uit te kopen als uit te breiden, bijvoorbeeld door het invoeren van een vergunningplicht bij intern salderen,"
6.0,2024D03704,Motie van het lid Kostic c.s. over inventariseren hoe slachtoffers van huiselijk geweld en hun huisdieren in alle gemeenten kunnen worden geholpen,/kamerstukken/moties/detail?id=2024Z01673&did=2024D03704,1 februari 2024,"['Ines Kostić', 'Sandra Beckerman', 'Dion Graus', 'Laura Bromet', 'André Flach', 'Marieke Koekkoek', 'Pieter Grinwis']","['PvdD', 'SP', 'PVV', 'GroenLinks-PvdA', 'SGP', 'Volt', 'ChristenUnie']",1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,"verzoekt de regering te inventariseren hoe slachtoffers van huiselijk geweld en hun huisdieren in alle gemeenten kunnen worden geholpen,"
7.0,2024D03691,Motie van het lid Beckerman c.s. over de mogelijkheden onderzoeken om de werkdruk voor dierenartsen te verlagen,/kamerstukken/moties/detail?id=2024Z01667&did=2024D03691,1 februari 2024,"['Sandra Beckerman', 'Dion Graus', 'Ines Kostić']","['SP', 'PVV', 'PvdD']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering de mogelijkheden te onderzoeken om de werkdruk voor dierenartsen te verlagen en meer dierenartsen in het vak te krijgen en te behouden,"
8.0,2024D03681,Motie van het lid Grinwis c.s. over de Maatregel Gebiedsgerichte Beëindiging zo vormgeven dat deze aantrekkelijker is dan de Lbv en de Lbv+,/kamerstukken/moties/detail?id=2024Z01661&did=2024D03681,1 februari 2024,"['Pieter Grinwis', 'Eline Vedder', 'Tjeerd de Groot', 'Sandra Beckerman', 'Laura Bromet', 'André Flach']","['ChristenUnie', 'CDA', 'D66', 'SP', 'GroenLinks-PvdA', 'SGP']",1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,"verzoekt de regering de in voorbereiding zijnde Maatregel Gebiedsge-richte Beëindiging zo vorm te geven dat deze relatief aantrekkelijker is dan de Lbv en Lbv+ voor verouderde agrarische bedrijven, en de uitgangs-punten met de Kamer te delen voorafgaand aan de notificatie van de regeling in Brussel,"
9.0,2024D03687,Motie van het lid Beckerman c.s. over komen met maatregelen en/of wetgeving rondom kosten van behandelingen bij dierenartsen,/kamerstukken/moties/detail?id=2024Z01665&did=2024D03687,1 februari 2024,"['Sandra Beckerman', 'Ines Kostić', 'Dion Graus']","['SP', 'PvdD', 'PVV']",1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,verzoekt de regering medio 2024 met maatregelen en/of wetgeving te komen die effectief is gebleken hier en in het buitenland
10.0,2024D03690,Motie van de leden Beckerman en Kostic over alle btw-tarieven voor diergeneeskundige handelingen voor gezelschapsdieren vastzetten op 9%,/kamerstukken/moties/detail?id=2024Z01666&did=2024D03690,1 februari 2024,"['Sandra Beckerman', 'Ines Kostić']","['SP', 'PvdD']",-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,"verzoekt de regering zo snel mogelijk alle btw-tarieven voor diergenees-kundige handelingen voor gezelschapsdieren vast te zetten op 9%,"
11.0,2024D03662,"Motie van het lid Holman over uitspreken dat het wenselijk is om te komen tot een integrale visie op natuur, landbouw en platteland",/kamerstukken/moties/detail?id=2024Z01651&did=2024D03662,1 februari 2024,['Harm Holman'],['NSC'],-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,"spreekt uit dat het wenselijk is om op een zo kort mogelijke termijn te komen tot een integrale visie op natuur, landbouw en platteland, die als onderlegger kan dienen voor de vraag hoe we uit de stikstofcrisis komen,"
12.0,2024D03671,Motie van het lid Vedder c.s. over het hanteren van bufferstroken van maximaal 100 meter,/kamerstukken/moties/detail?id=2024Z01655&did=2024D03671,1 februari 2024,"['Eline Vedder', 'André Flach', 'Cor Pierik']","['CDA', 'SGP', 'BBB']",1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,"verzoekt de regering bufferstroken van maximaal 100 meter te hanteren,"
13.0,2024D03711,Motie van het lid Koekkoek over een rol in de Europese voedselstrategie voor afspraken in de keten over verduurzaming en verdienvermogen,/kamerstukken/moties/detail?id=2024Z01680&did=2024D03711,1 februari 2024,['Marieke Koekkoek'],['Volt'],1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,"verzoekt de regering om een faciliterende rol te hebben en kennis aan te bieden over mogelijkheden ten aanzien van de afspraken; verzoekt de regering het initiatief te nemen om met andere Noord-Europese landen de kansen voor grensoverschrijdende duurzaamheidsaf-spraken te bespreken, bijvoorbeeld via de organisatie van een conferentie; verzoekt de regering om ervoor te pleiten dat er in de Europese voedsel-strategie een rol moet zijn voor afspraken in de keten ten aanzien van verduurzaming en verdienvermogen,"
14.0,2024D03645,Motie van het lid Bromet over continuering borgen van pachtgronden die reeds biologisch gecertificeerd zijn,/kamerstukken/moties/detail?id=2024Z01641&did=2024D03645,1 februari 2024,['Laura Bromet'],['GroenLinks-PvdA'],-1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,"verzoekt de regering om de continuering te borgen van eigen biologisch gecertificeerde pachtgronden die al biologisch gecertificeerd zijn, ook na transactie naar een nieuwe pachter,"
15.0,2024D03647,Motie van de leden Bromet en Grinwis over de overheid ten minste twintig jaar garant laten staan voor het Aanvalsplan Grutto,/kamerstukken/moties/detail?id=2024Z01643&did=2024D03647,1 februari 2024,"['Laura Bromet', 'Pieter Grinwis']","['GroenLinks-PvdA', 'ChristenUnie']",-1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,"verzoekt de regering om ten minste twintig jaar garant te staan voor het Aanvalsplan Grutto, mits provincies even zo lange beheercontracten afsluiten, zodat boeren zekerheid wordt geboden en de weidevogelpopu-latie kan worden hersteld,"
16.0,2024D03651,Motie van het lid Tjeerd de Groot over de middelen voor de verplaatsingsregeling inzetten voor stikstofreducerende maatregelen,/kamerstukken/moties/detail?id=2024Z01646&did=2024D03651,1 februari 2024,['Tjeerd de Groot'],['D66'],-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,"verzoekt de regering om de verplaatsingsregeling niet uit te voeren en de beschikbare middelen hiervoor in te zetten voor stikstofreducerende maatregelen, zoals vrijwillige opkoop,"
17.0,2024D03646,Motie van het lid Bromet c.s. over in kaart brengen van welke regelingen biologische boeren geen gebruik kunnen maken omdat ze voorloper zijn,/kamerstukken/moties/detail?id=2024Z01642&did=2024D03646,1 februari 2024,"['Laura Bromet', 'Pieter Grinwis', 'Tjeerd de Groot']","['GroenLinks-PvdA', 'ChristenUnie', 'D66']",-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,"verzoekt de regering in kaart te brengen van welke regelingen biologische boeren geen gebruik kunnen maken, omdat ze voorlopers zijn, en waar regeldruk voor biologische boeren verminderd kan worden, omdat ze al voldoen aan de Skal-voorwaarden,"
18.0,2024D03648,Motie van de leden Bromet en Vedder over het structureel alloceren van voldoende middelen voor aanleg en onderhoud van landschapselementen,/kamerstukken/moties/detail?id=2024Z01644&did=2024D03648,1 februari 2024,"['Laura Bromet', 'Eline Vedder']","['GroenLinks-PvdA', 'CDA']",-1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,"verzoekt de regering om structureel voldoende middelen te alloceren voor de aanleg en het onderhoud van landschapselementen, bijvoorbeeld middels een landschapsfonds, waarop landeigenaren ten minste twintig jaar aanspraak kunnen maken op een behoorlijke vergoeding, en deze te dekken uit het transitiefonds; verzoekt de regering om hiervoor nadere regels en voorwaarden op te stellen en bijvoorbeeld de Ecologische Autoriteit aan te wijzen als beheerder,"
19.0,2024D03644,Motie van het lid Bromet c.s. over biologisch onderwijs een integraal onderdeel maken van de curricula van landbouwscholen,/kamerstukken/moties/detail?id=2024Z01640&did=2024D03644,1 februari 2024,"['Laura Bromet', 'Tjeerd de Groot', 'Pieter Grinwis']","['GroenLinks-PvdA', 'D66', 'ChristenUnie']",-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,"verzoekt de regering om biologisch onderwijs een integraal onderdeel te maken van de curricula van landbouwscholen en ten minste een vak biologische landbouw te verplichten,"
20.0,2024D03633,Motie van het lid Graus c.s. over een onderzoek naar een prijsplafond voor medisch noodzakelijke behandelingen door dierenartsen,/kamerstukken/moties/detail?id=2024Z01632&did=2024D03633,1 februari 2024,"['Dion Graus', 'Ines Kostić', 'Sandra Beckerman']","['PVV', 'PvdD', 'SP']",1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,"verzoekt de regering de mogelijkheden te onderzoeken tot het instellen van prijsplafonds voor medisch noodzakelijke behandelingen door dierenartsen,"
21.0,2024D03641,Motie van het lid Meulenkamp c.s. over een voorstel uitwerken om de Nederlandse groente- en zaadveredeling onder de reikwijdte van de Wet vifo te laten vallen,/kamerstukken/moties/detail?id=2024Z01637&did=2024D03641,1 februari 2024,"['Wim Meulenkamp', 'André Flach', 'Laura Bromet', 'Eline Vedder', 'Pieter Grinwis', 'Tjeerd de Groot', 'Marieke Koekkoek', 'Sandra Beckerman']","['VVD', 'SGP', 'GroenLinks-PvdA', 'CDA', 'ChristenUnie', 'D66', 'Volt', 'SP']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering om een voorstel uit te werken om de Nederlandse groente- en zaadveredeling onder de reikwijdte van de Wet Vifo te laten vallen, bijvoorbeeld door per AMvB de sector aan te wijzen als vitale sector of door groente- en zaadtechnologie als sensitieve technologie aan te wijzen,   "
22.0,2024D03637,Motie van het lid Graus over voorkomen dat er dieren achterblijven bij de agressor van huiselijk geweld,/kamerstukken/moties/detail?id=2024Z01634&did=2024D03637,1 februari 2024,['Dion Graus'],['PVV'],1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,"verzoekt de regering binnen de huidige aanpak en/of preventie van huiselijk geweld ook dierenmishandeling mee te nemen en te zorgen dat zodra bijvoorbeeld vrouwen en/of kinderen in veiligheid worden gebracht er geen dieren mogen achterblijven bij de agressor en vice versa,"
23.0,2024D03632,Motie van het lid Graus c.s. over ingrijpen in de massale overname van dierenartsenpraktijken door twee grote private-equitypartijen,/kamerstukken/moties/detail?id=2024Z01631&did=2024D03632,1 februari 2024,"['Dion Graus', 'Sandra Beckerman', 'Ines Kostić']","['PVV', 'SP', 'PvdD']",1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,"verzoekt de regering in te (laten) grijpen inzake de massale overnames van dierenartspraktijken door twee grote private-equitypartijen en (voor velen) onbetaalbare vercommercialisering van noodzakelijke, veterinaire zorg aan hulpbehoevende dieren,"
