,id,gpt-3.5turbo_de PVV_vote,gpt-3.5turbo_de PVV_voor_lprob,gpt-3.5turbo_de PVV_tegen_lprob,gpt-3.5turbo_GroenLinks-PvdA_vote,gpt-3.5turbo_GroenLinks-PvdA_voor_lprob,gpt-3.5turbo_GroenLinks-PvdA_tegen_lprob,gpt-3.5turbo_de VVD_vote,gpt-3.5turbo_de VVD_voor_lprob,gpt-3.5turbo_de VVD_tegen_lprob,gpt-3.5turbo_het NSC_vote,gpt-3.5turbo_het NSC_voor_lprob,gpt-3.5turbo_het NSC_tegen_lprob,gpt-3.5turbo_D66_vote,gpt-3.5turbo_D66_voor_lprob,gpt-3.5turbo_D66_tegen_lprob,gpt-3.5turbo_de BBB_vote,gpt-3.5turbo_de BBB_voor_lprob,gpt-3.5turbo_de BBB_tegen_lprob,gpt-3.5turbo_het CDA_vote,gpt-3.5turbo_het CDA_voor_lprob,gpt-3.5turbo_het CDA_tegen_lprob,gpt-3.5turbo_de SP_vote,gpt-3.5turbo_de SP_voor_lprob,gpt-3.5turbo_de SP_tegen_lprob,gpt-3.5turbo_de ChristenUnie_vote,gpt-3.5turbo_de ChristenUnie_voor_lprob,gpt-3.5turbo_de ChristenUnie_tegen_lprob,gpt-3.5turbo_DENK_vote,gpt-3.5turbo_DENK_voor_lprob,gpt-3.5turbo_DENK_tegen_lprob,gpt-3.5turbo_PvdD_vote,gpt-3.5turbo_PvdD_voor_lprob,gpt-3.5turbo_PvdD_tegen_lprob,gpt-3.5turbo_SGP_vote,gpt-3.5turbo_SGP_voor_lprob,gpt-3.5turbo_SGP_tegen_lprob,gpt-3.5turbo_de FVD_vote,gpt-3.5turbo_de FVD_voor_lprob,gpt-3.5turbo_de FVD_tegen_lprob,gpt-3.5turbo_Volt_vote,gpt-3.5turbo_Volt_voor_lprob,gpt-3.5turbo_Volt_tegen_lprob,gpt-3.5turbo_JA21_vote,gpt-3.5turbo_JA21_voor_lprob,gpt-3.5turbo_JA21_tegen_lprob
0,2024D03656,voor,-0.101673305,-2.3670466,voor,-0.0015821129,-9.724917,voor,-0.06656256,-2.8367252,voor,-0.0003803873,-9.462096,voor,-0.0045162775,-6.4368453,voor,-0.005528289,-7.6411886,voor,-0.0033763843,-7.416222,voor,-0.0045969803,-5.591967,voor,-0.010226658,-5.421087,voor,-0.0061362763,-5.302468,voor,-0.009075047,-4.7455864,voor,-0.02412783,-3.812929,voor,-0.031950932,-3.8470335,voor,-0.0022923984,-8.928123,voor,-0.011540644,-4.629821
1,2024D03626,tegen,-4.3313756,-0.06707637,voor,-0.10166771,-2.388426,tegen,-2.7111268,-0.5435511,voor,-0.5362407,-0.9184085,tegen,-0.9812777,-0.4749129,voor,-0.39617023,-1.1346251,tegen,-1.1077559,-0.514025,voor,-0.620993,-0.7890667,voor,-0.38703263,-1.2440845,tegen,-3.8793964,-0.025247497,voor,-0.5885245,-0.8171813,tegen,-2.2875795,-0.12037002,tegen,-2.6513417,-0.09194865,voor,-0.10320314,-2.374613,tegen,-0.7645572,-0.6367877
2,2024D03663,voor,-0.091984525,-2.4606025,voor,-0.0007971197,-8.458725,voor,-0.014023995,-4.5213003,voor,-0.004508208,-8.779838,voor,-0.001347496,-9.064599,voor,-0.0050868182,-7.4912643,voor,-0.004823365,-5.6194606,voor,-0.0016589937,-7.1275,voor,-0.00884076,-5.030861,voor,-0.0012915473,-8.54463,voor,-0.0007605535,-8.664891,voor,-0.008116872,-5.087468,voor,-0.029001195,-3.6079292,voor,-0.0020505744,-9.293583,voor,-0.0018041765,-6.6422157
3,2024D03708,tegen,-2.3292875,-0.111889854,voor,-0.0037349989,-5.6696343,voor,-0.0751868,-2.6904058,voor,-0.0067485278,-5.40408,voor,-0.019614873,-4.0760455,voor,-0.048021592,-3.177441,voor,-0.10185818,-2.3688107,voor,-0.077904865,-2.6230633,voor,-0.1492013,-1.9912919,voor,-0.24177806,-1.5417429,voor,-0.1674235,-1.8726351,voor,-0.12004889,-2.22086,voor,-0.43675357,-1.0846035,voor,-0.011595794,-4.491935,voor,-0.1327171,-2.08926
4,2024D03707,voor,-0.03528873,-5.0621233,voor,-0.0013461848,-6.967714,voor,-0.03737955,-6.0260596,voor,-0.0020994681,-6.427919,voor,-0.0063760565,-5.406973,voor,-0.016804801,-4.516156,voor,-0.0018988865,-9.252425,voor,-0.006226321,-5.300273,voor,-0.0031467008,-6.159517,voor,-0.0033712732,-5.9595995,voor,-0.0010741344,-6.9831777,voor,-0.0033213655,-6.7821813,voor,-0.22208779,-1.8575,voor,-0.0072066565,-4.9724507,voor,-0.0014068979,-8.393851
5,2024D03701,tegen,-0.79068846,-0.64881796,voor,-0.0029280186,-6.215494,voor,-0.15376867,-2.031031,voor,-0.01760299,-4.12327,voor,-0.007935578,-5.067172,voor,-0.04543153,-3.169684,voor,-0.011974907,-4.7774587,voor,-0.020093326,-4.072288,voor,-0.02519844,-3.841517,voor,-0.027536863,-3.642548,voor,-0.0076940525,-4.989374,voor,-0.016841017,-4.3123217,tegen,-0.7691356,-0.6851512,voor,-0.03030193,-3.6671696,voor,-0.0014511867,-7.8991866
6,2024D03704,voor,-0.053319182,-3.0482247,voor,-0.0018619995,-10.417452,voor,-0.0058112442,-5.412559,voor,-0.00088216516,-10.152049,voor,-0.00040314416,-8.661351,voor,-0.004092055,-7.1711893,voor,-0.008576162,-11.314897,voor,-0.0013799946,-7.387677,voor,-0.003289417,-7.2172956,voor,-0.0009892229,-9.720653,voor,-0.0034490875,-9.871022,voor,-0.0024469965,-6.4186783,voor,-0.004226205,-6.8668647,voor,-0.0028117672,-10.961073,voor,-0.0025674566,-10.599028
7,2024D03691,voor,-0.017161911,-4.456058,voor,-0.0005145483,-9.498251,voor,-0.0038378334,-6.1521955,voor,-0.0017580024,-11.445264,voor,-0.0022755081,-11.056179,voor,-0.0031755755,-6.666651,voor,-0.0037886736,-11.122891,voor,-0.0019877558,-9.168554,voor,-0.004345737,-6.1457434,voor,-0.00069825765,-10.766159,voor,-0.0009699412,-10.875691,voor,-0.0023076234,-6.6835704,voor,-0.0027390164,-9.228117,voor,-0.0018737861,-11.421781,voor,-0.00056292297,-9.726515
8,2024D03681,tegen,-3.3175216,-0.04136802,voor,-0.049354706,-3.4075892,tegen,-0.73635715,-0.6764168,voor,-0.061649427,-2.8267136,voor,-0.017551212,-4.129698,voor,-0.022179315,-4.391146,voor,-0.017378317,-4.559468,voor,-0.67611486,-0.742708,voor,-0.43332097,-1.0680904,voor,-0.44078946,-1.0447934,voor,-0.11151521,-2.277695,voor,-0.12999575,-2.1391397,tegen,-0.8132138,-0.61401033,voor,-0.044082034,-3.1610558,voor,-0.010135568,-4.6530495
9,2024D03687,tegen,-1.6450185,-0.67776,voor,-0.009960179,-4.7957497,voor,-0.7227338,-0.9624837,voor,-0.08230651,-2.5457008,voor,-0.03855961,-3.3656528,voor,-0.0995852,-2.5281665,tegen,-1.1060892,-0.49895346,tegen,-1.2487255,-0.36179507,voor,-0.19607481,-1.789039,tegen,-1.3056157,-0.32518703,voor,-0.5808601,-0.82976145,voor,-0.24516252,-1.5587878,tegen,-2.4562807,-0.111323364,voor,-0.2803248,-1.4800471,voor,-0.19868048,-1.7291161
