,id,PVV,GroenLinks-PvdA,VVD,NSC,D66,BBB,CDA,SP,ChristenUnie,DENK,PvdD,SGP,FVD,Volt,JA21,gpt-3.5turbo_vote,gpt-3.5turbo_voor_lprob,gpt-3.5turbo_tegen_lprob
0,2024D03656,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.03752596,-3.3035629
1,2024D03626,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,1.0,-1,-1.0,voor,-0.30724418,-1.3305196
2,2024D03663,-1.0,1.0,1.0,1.0,1.0,-1.0,-1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.013333169,-4.3258543
3,2024D03708,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.029602125,-3.5350723
4,2024D03707,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,-1,1.0,1.0,1,1.0,voor,-0.0023327132,-6.066828
5,2024D03701,-1.0,1.0,1.0,1.0,1.0,-1.0,-1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.023245478,-3.77694
6,2024D03704,1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.0024829116,-6.006685
7,2024D03691,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.005089072,-5.28641
8,2024D03681,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.064529456,-2.7731476
9,2024D03687,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.044098116,-3.1447794
10,2024D03690,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,1.0,-1,1.0,voor,-0.06739859,-2.7308736
11,2024D03662,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.0013833323,-6.604531
12,2024D03671,1.0,-1.0,-1.0,1.0,-1.0,1.0,1,-1.0,-1,-1.0,-1,1.0,1.0,-1,1.0,voor,-0.6806265,-0.7059256
13,2024D03711,1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.0055881566,-5.70169
14,2024D03645,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.017346915,-4.0649047
15,2024D03647,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1,1.0,-1,1.0,-1.0,1,1.0,voor,-0.004350487,-5.444725
16,2024D03651,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1,-1.0,-1,-1.0,1,-1.0,-1.0,1,-1.0,voor,-0.07988575,-2.5676558
17,2024D03646,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,-1.0,voor,-0.0023569756,-6.064388
18,2024D03648,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.00878486,-4.7502856
19,2024D03644,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.010056493,-4.6082373
20,2024D03633,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,1.0,1,-1.0,voor,-0.088655554,-2.467554
21,2024D03641,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.053235896,-2.9602299
22,2024D03637,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,1,1.0,1,-1.0,1.0,1,1.0,voor,-0.05103593,-3.0021124
23,2024D03632,1.0,1.0,-1.0,1.0,1.0,-1.0,-1,1.0,1,1.0,1,1.0,1.0,1,-1.0,voor,-0.2857235,-1.3924472
24,2024D03629,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1,1.0,tegen,-1.8371786,-0.17369592
25,2024D03628,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1,-1.0,1,-1.0,-1.0,1,1.0,tegen,-1.0653398,-0.42303255
26,2024D03625,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,-1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.32612097,-1.2795321
27,2024D03627,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,1.0,1.0,1,1.0,voor,-0.0014474988,-6.5932045
28,2024D03501,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.009757624,-4.635572
29,2024D03624,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1.0,-1,-1.0,-1,-1.0,1.0,-1,1.0,tegen,-2.277028,-0.10853095
30,2024D03504,1.0,-1.0,1.0,-1.0,-1.0,1.0,1,-1.0,-1,1.0,-1,1.0,-1.0,-1,1.0,voor,-0.003046762,-5.799735
31,2024D03502,-1.0,1.0,-1.0,1.0,1.0,1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.40914756,-1.0918486
32,2024D03509,1.0,-1.0,1.0,1.0,-1.0,1.0,1,-1.0,1,-1.0,-1,1.0,-1.0,-1,1.0,tegen,-1.912072,-0.16018939
