,gpt4o_mini_rechts,gpt4o_mini_rechts_voor_lprob,gpt4o_mini_rechts_tegen_lprob,gpt4o_mini_centristisch,gpt4o_mini_centristisch_voor_lprob,gpt4o_mini_centristisch_tegen_lprob
0,tegen,-11.1276,-0.0025996764,voor,-0.474199,-12.099199
1,tegen,-1.704838,-0.20483808,voor,-0.026370088,-10.90137
2,tegen,-8.3757715,-0.0007718668,voor,-0.06205115,-13.937051
3,tegen,-6.754152,-0.004152007,voor,-0.048670143,-10.54867
4,tegen,-7.5009227,-0.00092253846,voor,-0.048658784,-12.923658
5,tegen,-6.753842,-0.0038421135,voor,-0.019535502,-6.6445355
6,voor,-0.07580449,-2.8258045,voor,-0.20150329,-16.326504
7,voor,-0.39150062,-1.1415006,voor,-0.2015181,-14.826518
8,tegen,-7.1270094,-0.002009172,voor,-0.29064134,-1.4156413
9,tegen,-0.77067703,-0.64567703,voor,-0.03375439,-9.783754
10,tegen,-2.2436912,-0.11869112,voor,-0.038642995,-7.538643
11,tegen,-5.1315417,-0.006541528,voor,-0.10027762,-14.350278
12,tegen,-11.128308,-0.003307824,voor,-0.6993561,-0.6993561
13,tegen,-11.500281,-0.00028088156,voor,-0.029796537,-14.154797
14,tegen,-11.000815,-0.0008149892,voor,-0.04874815,-9.298748
15,tegen,-4.3886375,-0.01363754,voor,-0.011316951,-8.386317
16,tegen,-5.6313853,-0.0063851797,voor,-0.05696455,-3.1819646
17,tegen,-6.128786,-0.0037863005,voor,-0.20151186,-11.701511
18,tegen,-12.5006695,-0.00066942873,voor,-0.03372477,-10.908725
19,tegen,-7.626237,-0.0012371336,voor,-0.062032998,-12.562033
20,tegen,-6.253873,-0.003872993,voor,-0.019235956,-6.894236
21,tegen,-4.141792,-0.016791672,voor,-0.020890094,-4.27089
22,tegen,-1.228256,-0.35325593,voor,-0.12699625,-12.626996
23,tegen,-10.126187,-0.0011874917,voor,-0.11580332,-5.8658032
24,voor,-0.13994272,-2.5149426,tegen,-10.751326,-0.00132548
25,tegen,-13.0037365,-0.003736303,tegen,-11.004777,-0.00477733
26,voor,-0.06726409,-3.567264,voor,-0.38700396,-10.387004
27,voor,-0.25855893,-1.633559,voor,-0.31335294,-13.063353
28,tegen,-3.7740743,-0.024074307,voor,-0.38697574,-16.761976
29,voor,-0.4880996,-0.9880996,tegen,-11.500812,-0.0008111747
30,voor,-0.22659948,-1.7265995,voor,-0.010595095,-5.1355953
31,tegen,-8.126531,-0.0015302169,voor,-0.038190216,-9.41319
32,tegen,-0.7840808,-0.6590808,tegen,-3.4159315,-0.04093156
33,tegen,-2.129594,-0.12959413,voor,-0.023297772,-12.898297
34,tegen,-9.001571,-0.0015711607,tegen,-7.8766127,-0.001612816
35,voor,-0.10064376,-7.9756436,voor,-0.10029488,-13.350295
36,tegen,-12.375474,-0.0004744023,voor,-0.033717394,-10.783717
37,voor,-0.24088158,-1.8658816,tegen,-2.021586,-0.14658588
38,tegen,-2.2422016,-0.11720158,voor,-0.31338665,-16.813387
39,tegen,-3.1717877,-0.04678784,tegen,-7.8763804,-0.0013803522
40,tegen,-6.252877,-0.0028770342,voor,-0.25205138,-13.377051
41,voor,-0.63498276,-0.75998276,voor,-0.016115543,-10.266115
42,voor,-0.30168825,-1.5516882,tegen,-14.502616,-0.0026154902
43,tegen,-13.7512865,-0.0012867828,voor,-0.53964627,-0.91464627
44,voor,-0.04955053,-5.0495505,tegen,-10.251177,-0.0011771319
45,tegen,-7.6285,-0.0034998115,voor,-0.043778345,-4.2937784
46,tegen,-7.376483,-0.0014829591,voor,-0.47958425,-0.9795842
47,tegen,-1.8060168,-0.18101677,voor,-0.048647095,-12.798647
48,voor,-0.66970783,-0.79470783,tegen,-12.756869,-0.006869525
49,tegen,-8.128295,-0.0032948712,voor,-0.041236818,-5.791237
50,tegen,-12.126426,-0.0014255947,tegen,-8.001692,-0.0016914885
