,id,category
0,2024D03656,"[""Immigratie, Asiel en Integratie"", ""Economie & Financiën""]"
1,2024D03626,"[""Milieu en Natuur""]"
2,2024D03663,"[""Milieu en Natuur""]"
3,2024D03708,"[""Milieu en Natuur""]"
4,2024D03707,"[""Milieu en Natuur""]"
5,2024D03701,"[""Milieu en Natuur""]"
6,2024D03704,"[""Veiligheid en Justitie"", ""Zorg en Gezondheid""]"
7,2024D03691,"[""Zorg en Gezondheid""]"
8,2024D03681,"[""Economie & Financiën""]"
9,2024D03687,"[""Immigratie, Asiel en Integratie"", ""Veiligheid en Justitie"", ""Buitenlands Beleid"", ""Economie & Financiën""]"
10,2024D03690,"[""Economie & Financiën""]"
11,2024D03662,"[""Milieu en Natuur""]"
12,2024D03671,"[""Milieu en Natuur""]"
13,2024D03711,"[""Milieu en Natuur"", ""Economie & Financiën""]"
14,2024D03645,"[""Milieu en Natuur""]"
15,2024D03647,"[""Milieu en Natuur""]"
16,2024D03651,"[""Milieu en Natuur""]"
17,2024D03646,"[""Milieu en Natuur"", ""Economie & Financiën""]"
18,2024D03648,"[""Milieu en Natuur""]"
19,2024D03644,"[""Onderwijs, Cultuur en Wetenschap""]"
20,2024D03633,"[""Zorg en Gezondheid""]"
21,2024D03641,"[""Milieu en Natuur"", ""Technologie""]"
22,2024D03637,"[""Veiligheid en Justitie"", ""Dierenwelzijn""]"
23,2024D03632,"[""Economie & Financiën"", ""Zorg en Gezondheid""]"
24,2024D03629,"[""Milieu en Natuur""]"
25,2024D03628,"[""Milieu en Natuur""]"
26,2024D03625,"[""Dierenwelzijn""]"
27,2024D03627,"[""Milieu en Natuur""]"
28,2024D03501,"[""Zorg en Gezondheid"", ""Veiligheid en Justitie"", ""Onderwijs, Cultuur en Wetenschap""]"
29,2024D03624,"[""Milieu en Natuur""]"
30,2024D03504,"[""Veiligheid en Justitie""]"
31,2024D03502,"[""Veiligheid en Justitie""]"
32,2024D03509,"[""Buitenlands Beleid""]"
33,2024D03623,"[""Economie & Financiën""]"
34,2024D03507,"[""Buitenlands Beleid""]"
35,2024D03506,"[""Veiligheid en Justitie"", ""Technologie""]"
36,2024D03474,"[""Buitenlands Beleid""]"
37,2024D03468,"[""Immigratie, Asiel en Integratie"", ""Buitenlands Beleid""]"
38,2024D03463,"[""Economie & Financiën""]"
39,2024D03470,"[""Immigratie, Asiel en Integratie"", ""Economie & Financiën""]"
40,2024D03464,"[""Buitenlands Beleid""]"
41,2024D03461,"[""Economie & Financiën"", ""Buitenlands Beleid""]"
42,2024D03467,"[""Buitenlands Beleid""]"
43,2024D03471,"[""Economie & Financiën""]"
44,2024D03477,"[""Buitenlands Beleid""]"
45,2024D03472,"[""Buitenlands Beleid"", ""Economie & Financiën""]"
46,2024D03459,"[""Buitenlands Beleid""]"
47,2024D03465,"[""Buitenlands Beleid"", ""Economie & Financiën""]"
48,2024D03453,"[""Milieu en Natuur"", ""Buitenlands Beleid""]"
49,2024D03457,"[""Economie & Financiën""]"
50,2024D03473,"[""Buitenlands Beleid""]"
51,2024D03469,"[""Buitenlands Beleid""]"
52,2024D03458,"[""Milieu en Natuur"", ""Economie & Financiën""]"
53,2024D03462,"[""Buitenlands Beleid"", ""Economie & Financiën""]"
54,2024D03454,"[""Buitenlands Beleid""]"
55,2024D03466,"[""Buitenlands Beleid""]"
56,2024D03476,"[""Buitenlands Beleid""]"
57,2024D03452,"[""Economie & Financiën"", ""Buitenlands Beleid""]"
58,2024D03451,"[""Economie & Financiën""]"
59,2024D03282,"[""Milieu en Natuur""]"
60,2024D02182,"[""Onderwijs, Cultuur en Wetenschap""]"
61,2024D03281,"[""Milieu en Natuur"", ""Buitenlands Beleid""]"
62,2024D03175,"[""Verkeer en Vervoer"", ""Economie & Financiën""]"
63,2024D03174,"[""Milieu en Natuur""]"
64,2024D03151,"[""Buitenlands Beleid""]"
65,2024D03279,"[""Milieu en Natuur"", ""Economie & Financiën""]"
66,2024D03020,"[""Veiligheid en Justitie""]"
67,2024D02733,"[""Zorg en Gezondheid""]"
68,2024D03158,"[""Immigratie, Asiel en Integratie""]"
69,2024D02851,"[""Verkeer en Vervoer""]"
70,2024D03108,"[""Technologie"", ""Buitenlands Beleid""]"
71,2024D03118,"[""Technologie""]"
72,2024D03114,"[""Buitenlands Beleid""]"
73,2024D03109,"[""Onderwijs, Cultuur en Wetenschap""]"
74,2024D03113,"[""Veiligheid en Justitie""]"
75,2024D03110,"[""Buitenlands Beleid""]"
76,2024D03040,"[""Milieu en Natuur"", ""Economie & Financiën""]"
77,2024D03132,"[""Milieu en Natuur""]"
78,2024D03032,"[""Milieu en Natuur""]"
79,2024D03026,"[""Milieu en Natuur""]"
80,2024D03022,"[""Milieu en Natuur"", ""Buitenlands Beleid""]"
81,2024D03024,"[""Milieu en Natuur"", ""Veiligheid en Justitie""]"
82,2024D03036,"[""Milieu en Natuur""]"
83,2024D03033,"[""Milieu en Natuur""]"
84,2024D03083,"[""Veiligheid en Justitie""]"
85,2024D03085,"[""Zorg en Gezondheid""]"
86,2024D03087,"[""Zorg en Gezondheid"", ""Onderwijs, Cultuur en Wetenschap""]"
87,2024D03084,"[""Zorg en Gezondheid""]"
88,2024D03081,"[""Veiligheid en Justitie""]"
89,2024D03062,"[""Economie & Financiën""]"
90,2024D03079,"[""Zorg en Gezondheid""]"
91,2024D03078,"[""Zorg en Gezondheid""]"
92,2024D03073,"[""Zorg en Gezondheid""]"
93,2024D03070,"[""Zorg en Gezondheid""]"
94,2024D03069,"[""Zorg en Gezondheid"", ""Onderwijs, Cultuur en Wetenschap""]"
95,2024D03074,"[""Zorg en Gezondheid""]"
96,2024D03063,"[""Economie & Financiën""]"
97,2024D02664,"[""Zorg en Zorg en Gezondheid""]"
98,2024D02505,"[""Verkeer en Vervoer""]"
99,2024D02485,"[""Economie & Financiën""]"
100,2024D02508,"[""Veiligheid en Justitie"", ""Verkeer en Vervoer""]"
101,2024D02680,"[""Zorg en Gezondheid""]"
102,2024D02518,"[""Verkeer en Vervoer"", ""Economie & Financiën""]"
103,2024D02659,"[""Zorg en Gezondheid""]"
104,2024D02641,"[""Buitenlands Beleid""]"
105,2024D02640,"[""Buitenlands Beleid""]"
106,2024D02643,"[""Buitenlands Beleid""]"
107,2024D02644,"[""Buitenlands Beleid""]"
108,2024D02638,"[""Buitenlands Beleid""]"
109,2024D02532,"[""Verkeer en Vervoer""]"
110,2024D02642,"[""Buitenlands Beleid""]"
111,2024D02531,"[""Economie & Financiën""]"
112,2024D02512,"[""Verkeer en Vervoer""]"
113,2024D02510,"[""Verkeer en Vervoer""]"
114,2024D02514,"[""Verkeer en Vervoer""]"
115,2024D02515,"[""Veiligheid en Justitie"", ""Milieu en Natuur""]"
