,gpt-3.5_centristisch,gpt-3.5_centrist_voor_lprob,gpt-3.5_centrist_tegen_lprob,gpt-3.5_rechts,gpt-3.5_right_voor_lprob,gpt-3.5_right_tegen_lprob,gpt-3.5_rightcons_vote,gpt-3.5_rightcons_voor_l_prob,gpt-3.5_rightcons_tegen_lprob
0,voor,-0.006864794,-13.427446,tegen,-3.0297718,-15.152004,tegen,-5.752425,-15.623075
1,tegen,-6.874367,-14.056774,tegen,-1.8582509,-12.423629,tegen,-3.7950764,-14.615532
2,voor,-0.037147213,-16.713654,tegen,-0.823971,-14.869551,tegen,-7.030164,-15.552653
3,tegen,-2.0234346,-13.705285,tegen,-0.88512033,-12.256126,tegen,-2.3132753,-14.872628
4,voor,-0.38189074,-13.2732115,tegen,-3.665814,-13.510479,tegen,-6.9837046,-14.600371
5,tegen,-0.8261585,-11.466793,tegen,-0.9360647,-12.6872835,tegen,-2.216179,-14.858608
6,voor,-0.0056310627,-14.028462,tegen,-3.1223679,-13.275761,tegen,-7.1556244,-15.314873
7,voor,-0.004847092,-14.229775,tegen,-2.023029,-13.227707,tegen,-7.5132704,-16.775911
8,tegen,-5.522882,-14.1729765,tegen,-2.7250316,-13.408313,tegen,-4.7471743,-13.119691
9,tegen,-3.6543684,-13.165315,tegen,-1.1010094,-14.675043,tegen,-2.6564848,-14.445944
10,tegen,-5.596042,-14.630558,tegen,-1.6298435,-15.017346,tegen,-4.7803698,-14.489354
11,voor,-0.043788277,-13.467645,voor,-0.41843235,-12.397207,tegen,-2.2675843,-14.992662
12,tegen,-3.2543979,-12.390184,tegen,-1.7340045,-12.204521,tegen,-1.7003748,-14.004599
13,voor,-0.5461258,-8.424061,tegen,-4.0359893,-10.554697,tegen,-3.2762537,-0.112479135
14,tegen,-0.9624162,-14.335456,voor,-0.6587584,-11.931938,tegen,-2.8535218,-15.69059
15,voor,-0.077457055,-12.580132,tegen,-1.2968594,-12.229765,tegen,-4.303685,-14.167153
16,tegen,-4.9942093,-14.293808,tegen,-0.96093845,-12.834163,tegen,-2.3347087,-14.073566
17,voor,-0.017578622,-13.202666,voor,-0.22831082,-11.960317,tegen,-3.3240974,-15.266999
18,voor,-0.0098394295,-13.398322,tegen,-2.3343358,-12.036442,tegen,-3.4020162,-12.164136
19,voor,-0.21381523,-11.418999,voor,-0.39792952,-15.64161,tegen,-2.1464744,-14.746692
20,tegen,-4.0754395,-14.454597,tegen,-3.658227,-14.159247,tegen,-4.9778543,-14.177782
21,tegen,-3.819765,-13.518032,tegen,-1.3563782,-11.69207,tegen,-3.242188,-12.2352915
22,voor,-0.012643966,-12.897924,voor,-0.42389318,-11.478294,tegen,-3.26514,-14.013542
23,tegen,-2.5256772,-11.446236,tegen,-1.1420424,-12.525206,tegen,-3.4786205,-15.040024
24,tegen,-10.963577,-13.336277,tegen,-1.787929,-12.122051,tegen,-3.1352723,-12.339705
25,tegen,-7.9141126,-15.033664,tegen,-5.353976,-13.526479,tegen,-5.3125653,-12.7961855
26,tegen,-5.157394,-13.447822,tegen,-2.0579808,-12.663039,tegen,-2.174251,-14.667178
27,voor,-0.024290856,-17.043964,voor,-0.23132621,-12.486714,tegen,-1.8899896,-14.349857
28,voor,-0.40965602,-16.54669,tegen,-4.587304,-15.179027,tegen,-7.299315,-14.609023
29,tegen,-5.197944,-14.090863,tegen,-0.89307654,-13.528382,tegen,-1.6748576,-13.676456
30,tegen,-0.9854262,-12.940336,voor,-0.23935634,-14.305554,voor,-0.49655628,-13.683822
31,tegen,-6.0043035,-0.007646849,tegen,-5.486671,-13.827526,tegen,-6.4078298,-13.495471
32,tegen,-3.9289203,-12.289118,tegen,-1.5435462,-11.204414,tegen,-2.4594882,-11.559666
33,tegen,-3.795403,-14.540482,tegen,-3.1556852,-13.454042,tegen,-4.0431337,-14.247886
34,tegen,-4.7572713,-12.626925,tegen,-1.0190089,-12.08466,tegen,-2.0732257,-13.613084
35,tegen,-0.89437264,-12.594658,voor,-0.4453885,-12.304516,tegen,-1.6787945,-14.341152
36,tegen,-0.8230797,-15.382925,tegen,-4.0209703,-14.751388,tegen,-7.69105,-15.821468
37,tegen,-2.7250817,-15.557673,voor,-0.38868558,-11.657648,tegen,-1.8651335,-13.592651
38,voor,-0.0034728514,-13.380011,tegen,-2.1814506,-15.736863,tegen,-3.9241161,-16.203962
39,tegen,-9.157377,-16.438725,tegen,-2.7009492,-14.807878,tegen,-1.820157,-14.368247
40,voor,-0.020087136,-12.478442,tegen,-3.8391094,-15.327833,tegen,-5.6267476,-15.991766
41,tegen,-4.204314,-16.581455,tegen,-3.38011,-14.694517,tegen,-3.245146,-13.46434
42,tegen,-5.1809344,-14.245733,tegen,-1.544984,-12.5878935,voor,-0.42249513,-12.751085
43,tegen,-1.663421,-14.229325,tegen,-2.5577555,-16.704521,tegen,-2.2454262,-15.573877
44,tegen,-4.2593036,-13.098919,voor,-0.18566766,-12.0758295,tegen,-1.2907238,-14.005444
45,voor,-0.15544939,-13.653521,voor,-0.3114057,-13.009881,tegen,-1.2550937,-14.260808
46,tegen,-6.357613,-12.603191,tegen,-8.116105,-0.0013605937,tegen,-7.076415,-13.6592455
47,voor,-0.11414257,-12.544585,voor,-0.6568132,-15.28439,tegen,-1.6270921,-14.350359
48,tegen,-12.3148365,-15.097912,tegen,-8.208069,-14.118172,tegen,-2.9702342,-12.545511
49,tegen,-2.1019938,-13.603628,tegen,-4.1986465,-15.129213,tegen,-5.6838613,-15.208792
50,tegen,-1.9253983,-11.861448,tegen,-1.8371607,-14.160455,tegen,-3.28818,-14.658711
51,tegen,-5.111591,-13.4333515,voor,-0.6223108,-13.051008,tegen,-1.94277,-14.244368
52,voor,-0.4460294,-12.818018,tegen,-3.3425019,-14.662793,tegen,-4.9379396,-15.534965
53,tegen,-2.6998777,-13.396485,tegen,-2.0549197,-14.597781,tegen,-3.0015042,-14.180228
54,tegen,-15.068043,-0.004979951,tegen,-9.149837,-0.0033269534,tegen,-6.3489895,-0.006950392
55,tegen,-3.4866226,-13.931308,tegen,-2.5839481,-12.712439,tegen,-4.8407693,-13.829131
56,tegen,-5.9426966,-14.55384,tegen,-0.7688899,-12.943077,voor,-0.23879439,-15.501446
57,voor,-0.0025745905,-15.620716,voor,-0.16233069,-13.620665,voor,-0.2393355,-15.999202
58,voor,-0.0032971322,-14.259013,voor,-0.16681015,-13.98199,tegen,-3.8103776,-15.821923
59,tegen,-4.999032,-14.07187,tegen,-2.8308527,-15.255732,tegen,-4.300646,-14.095654
60,voor,-0.008671538,-14.148627,tegen,-2.6104064,-11.896747,tegen,-4.564226,-14.463232
61,tegen,-4.548493,-13.948219,tegen,-1.4076773,-12.010888,tegen,-2.3279889,-14.334256
62,tegen,-1.7274455,-15.283823,tegen,-2.3745043,-13.61347,tegen,-3.701411,-15.088855
63,tegen,-6.340207,-0.0026122825,tegen,-1.5308046,-14.185706,tegen,-2.2564185,-15.329634
64,tegen,-1.4262283,-12.710755,voor,-0.528243,-12.90639,tegen,-2.057944,-14.58092
65,voor,-0.23205176,-9.225437,voor,-0.15530865,-9.635539,tegen,-1.3710995,-10.136089
66,tegen,-0.74009496,-13.479166,tegen,-2.9280972,-13.756961,tegen,-3.5364962,-14.460547
67,voor,-0.24074693,-13.005771,tegen,-1.7195611,-13.796606,tegen,-3.0940316,-15.664323
68,tegen,-1.1553304,-11.910591,tegen,-2.9150248,-12.570708,tegen,-5.329407,-14.814637
69,voor,-0.0027532843,-14.940803,tegen,-1.866503,-12.012541,tegen,-9.2606,-16.873589
70,tegen,-2.1595633,-13.444744,tegen,-2.4385,-10.971015,tegen,-5.0903296,-11.990848
71,voor,-0.07047051,-13.606007,tegen,-2.0894132,-13.427799,tegen,-2.9844925,-14.860295
72,tegen,-3.1277072,-12.946034,voor,-0.28492957,-11.699457,tegen,-0.81434697,-11.498233
