,gpt-4o-mini_de PVV_vote,gpt-4o-mini_de PVV_voor_lprob,gpt-4o-mini_de PVV_tegen_lprob,gpt-4o-mini_GroenLinks-PvdA_vote,gpt-4o-mini_GroenLinks-PvdA_voor_lprob,gpt-4o-mini_GroenLinks-PvdA_tegen_lprob,gpt-4o-mini_de VVD_vote,gpt-4o-mini_de VVD_voor_lprob,gpt-4o-mini_de VVD_tegen_lprob,gpt-4o-mini_het NSC_vote,gpt-4o-mini_het NSC_voor_lprob,gpt-4o-mini_het NSC_tegen_lprob,gpt-4o-mini_D66_vote,gpt-4o-mini_D66_voor_lprob,gpt-4o-mini_D66_tegen_lprob,gpt-4o-mini_de BBB_vote,gpt-4o-mini_de BBB_voor_lprob,gpt-4o-mini_de BBB_tegen_lprob,gpt-4o-mini_het CDA_vote,gpt-4o-mini_het CDA_voor_lprob,gpt-4o-mini_het CDA_tegen_lprob,gpt-4o-mini_het SP_vote,gpt-4o-mini_het SP_voor_lprob,gpt-4o-mini_het SP_tegen_lprob,gpt-4o-mini_de ChristenUnie_vote,gpt-4o-mini_de ChristenUnie_voor_lprob,gpt-4o-mini_de ChristenUnie_tegen_lprob,gpt-4o-mini_DENK_vote,gpt-4o-mini_DENK_voor_lprob,gpt-4o-mini_DENK_tegen_lprob,gpt-4o-mini_de PvdD_vote,gpt-4o-mini_de PvdD_voor_lprob,gpt-4o-mini_de PvdD_tegen_lprob,gpt-4o-mini_de SGP_vote,gpt-4o-mini_de SGP_voor_lprob,gpt-4o-mini_de SGP_tegen_lprob,gpt-4o-mini_FVD_vote,gpt-4o-mini_FVD_voor_lprob,gpt-4o-mini_FVD_tegen_lprob,gpt-4o-mini_Volt_vote,gpt-4o-mini_Volt_voor_lprob,gpt-4o-mini_Volt_tegen_lprob,gpt-4o-mini_JA21_vote,gpt-4o-mini_JA21_voor_lprob,gpt-4o-mini_JA21_tegen_lprob
0,voor,-3.8071115,-11.932112,Voor,-0.9742007,-12.8492,voor,-3.050887,-13.800887,voor,-2.1270468,-17.627047,Voor,-1.1369977,-12.636998,voor,-0.8261154,-10.826116,voor,-1.9103341,-17.035334,voor,-1.1370068,-13.887007,voor,-1.1370112,-13.887012,voor,-0.9741998,-14.349199,voor,-1.7015287,-12.951529,voor,-1.3138639,-15.063864,voor,-2.0195181,-14.019518,voor,-0.8260844,-12.201084,voor,-1.7015727,-16.201572
1,voor,-4.689762,-11.689762,voor,-3.0486443,-14.173644,voor,-3.0490837,-15.424084,voor,-4.3875813,-17.38758,voor,-3.0486348,-15.298635,voor,-3.7734723,-16.273472,voor,-3.7733636,-16.523363,voor,-3.4087389,-16.28374,voor,-3.651355,-14.526355,voor,-4.6348014,-17.509802,voor,-3.0486605,-13.42366,voor,-3.5313468,-14.406347,voor,-5.01441,-13.13941,voor,-3.529815,-16.154816,voor,-3.0487623,-16.048761
2,voor,-3.5841517,-11.959151,voor,-1.5020473,-17.377047,voor,-2.350317,-14.975317,voor,-2.8120759,-17.312077,voor,-2.3502967,-17.475296,voor,-3.0486708,-17.673672,voor,-2.8120437,-16.312044,voor,-2.8120549,-16.562056,voor,-2.127051,-17.12705,voor,-4.2642155,-18.264215,voor,-1.502105,-16.127106,voor,-3.0487328,-16.798733,voor,-4.3127313,-11.562732,voor,-1.5020776,-16.127077,voor,-4.2642207,-16.889221
3,voor,-3.4661164,-10.591117,voor,-1.7015067,-12.951507,voor,-2.9304326,-15.430432,voor,-3.0486588,-17.923658,voor,-1.3133514,-12.938352,voor,-2.8120978,-16.437098,voor,-2.9300876,-16.430088,voor,-2.6950412,-16.320042,voor,-2.3502824,-13.975283,voor,-3.5298076,-17.529808,voor,-2.3503695,-15.850369,voor,-1.9127401,-14.03774,voor,-3.5305655,-14.530565,voor,-2.1270282,-16.002028,voor,-3.7733114,-17.273312
4,voor,-4.036489,-12.4114895,voor,-2.5789757,-15.078976,voor,-3.5298853,-16.404884,voor,-3.7732992,-18.398298,voor,-2.1270015,-15.002002,voor,-3.4087257,-13.908726,voor,-3.8956182,-17.520618,voor,-3.4087145,-17.658714,voor,-3.4087212,-14.283721,voor,-4.387557,-17.512556,voor,-3.2881057,-14.788106,voor,-3.0487018,-16.673702,voor,-4.0186424,-15.143642,voor,-2.3502889,-17.100288,voor,-4.8826847,-16.632685
5,voor,-4.8239183,-10.073918,voor,-3.2881334,-16.788134,voor,-3.6625514,-12.662551,voor,-5.006887,-15.756887,voor,-4.3877683,-15.512769,voor,-3.775143,-13.775143,voor,-4.1522446,-12.902245,voor,-3.289186,-14.539186,voor,-3.530219,-15.280219,voor,-4.882855,-15.632854,voor,-3.288278,-15.663279,voor,-2.9676769,-11.342677,voor,-5.009981,-10.384981,voor,-4.0183053,-15.768305,voor,-5.0090184,-13.384018
6,voor,-3.5299377,-15.904938,voor,-1.3133712,-15.813371,voor,-1.5020525,-13.377052,voor,-2.8120506,-15.812051,voor,-1.9103332,-16.160334,voor,-2.3503025,-15.600303,voor,-1.7015147,-15.326514,voor,-3.2881105,-16.78811,voor,-1.910328,-16.910328,voor,-3.0486555,-17.423655,voor,-2.1270156,-15.877015,voor,-2.3503113,-14.475311,voor,-2.8120518,-17.312052,voor,-2.350278,-16.725277,voor,-2.3502908,-14.475291
7,voor,-3.4087152,-16.533716,voor,-1.3133712,-15.313371,voor,-1.3133835,-14.563383,voor,-1.9103535,-16.785353,voor,-1.3133897,-15.31339,voor,-1.7015412,-16.701542,voor,-2.3502784,-16.850279,voor,-1.7015098,-16.57651,voor,-2.1270208,-17.502022,voor,-2.8120534,-17.812054,voor,-2.1270163,-16.127016,voor,-1.910332,-14.535332,voor,-2.5789504,-15.828951,voor,-0.8260872,-16.201088,voor,-2.1270108,-16.50201
8,tegen,-5.764415,-8.639415,voor,-4.024945,-13.024944,voor,-4.2421393,-10.11714,voor,-5.136919,-13.261919,voor,-3.4120014,-13.537002,voor,-3.630617,-10.130617,voor,-4.203022,-11.453022,voor,-4.1712084,-11.546208,voor,-4.6833744,-11.308374,voor,-5.3443766,-10.719377,voor,-3.9398556,-10.939856,voor,-3.802018,-9.052018,tegen,-5.1733155,-8.548316,voor,-3.9057941,-11.905794,voor,-5.1462903,-9.14629
9,voor,-4.3770547,-9.752054,voor,-0.9742917,-10.599292,voor,-2.6963449,-13.446345,voor,-1.9103383,-11.910338,voor,-2.930002,-12.430002,voor,-2.238226,-14.863226,voor,-2.9301271,-11.680127,voor,-2.8120987,-12.0620985,voor,-2.6950507,-12.32005,voor,-3.04974,-13.67474,voor,-2.2388022,-13.488802,voor,-2.583074,-12.333075,voor,-4.0574293,-9.807429,voor,-2.2379246,-15.737925,voor,-2.8168664,-12.066866
10,voor,-3.5315323,-14.906532,voor,-1.5020411,-12.502041,voor,-1.9118761,-14.786876,voor,-3.0486772,-17.298677,voor,-1.9103003,-13.4103,voor,-2.5790746,-16.579075,voor,-3.1680822,-17.043081,voor,-2.8120425,-17.562042,voor,-2.3503098,-12.475309,voor,-3.7733047,-17.523304,voor,-3.2881546,-17.038155,voor,-2.5796072,-15.079607,voor,-3.4104033,-14.535403,voor,-2.350314,-17.100313,voor,-4.264644,-15.264645
11,voor,-4.267433,-14.017433,voor,-2.1270232,-15.502024,voor,-2.1270313,-14.752031,voor,-2.5789888,-16.703989,voor,-1.910313,-16.660313,voor,-2.350304,-16.350304,voor,-2.578962,-15.578962,voor,-2.1270206,-16.12702,voor,-1.9103274,-15.285327,voor,-2.8120458,-17.062046,voor,-2.5789857,-16.578985,voor,-3.1680791,-15.043079,voor,-4.1410837,-17.641085,voor,-2.127029,-16.12703,voor,-4.141089,-17.016088
12,tegen,-4.899113,-8.774114,voor,-2.465519,-14.840519,voor,-3.5976186,-9.722619,voor,-3.67518,-11.80018,voor,-3.9003072,-13.400307,voor,-3.9746215,-10.724622,voor,-3.7509153,-11.125916,voor,-3.5330753,-13.533075,voor,-3.4112482,-13.786248,voor,-4.425621,-11.550621,voor,-2.2397294,-14.48973,voor,-3.0067282,-10.256728,tegen,-5.5422435,-8.292243,voor,-3.6600811,-12.285081,voor,-4.424366,-10.299366
13,voor,-4.430467,-12.055468,voor,-1.5020053,-14.627006,voor,-2.579016,-15.454016,voor,-2.1269991,-14.751999,voor,-2.3502636,-15.350264,voor,-3.408711,-13.7837105,voor,-3.2880974,-14.288097,voor,-3.2880888,-15.788089,voor,-2.1269908,-14.62699,voor,-4.018188,-17.268188,voor,-2.8120165,-15.0620165,voor,-2.929957,-14.304957,voor,-3.4102266,-14.410227,voor,-2.5789518,-14.578952,voor,-4.1410775,-17.141077
14,voor,-4.061278,-12.186278,voor,-1.7015134,-14.201513,voor,-3.289605,-14.914605,voor,-3.2881103,-17.91311,voor,-2.1270092,-14.377009,voor,-2.5790026,-16.829002,voor,-2.8120427,-17.562042,voor,-2.5789752,-14.078975,voor,-2.3502944,-13.975294,voor,-3.7733123,-17.148312,voor,-1.7015234,-13.826524,voor,-1.9108875,-15.410888,voor,-3.2886178,-15.413618,voor,-1.701518,-17.076519,voor,-3.895699,-16.520699
15,voor,-3.5635657,-11.938566,voor,-1.9103117,-12.910312,voor,-2.699104,-13.449104,voor,-3.048681,-14.673681,voor,-2.6950064,-13.195006,voor,-2.9299798,-16.17998,voor,-2.4640732,-16.214073,voor,-2.350327,-16.100327,voor,-2.578982,-12.328982,voor,-4.018209,-17.26821,voor,-2.4640596,-16.58906,voor,-2.1274557,-15.002456,voor,-3.7744114,-14.024411,voor,-2.6950254,-15.445025,voor,-3.7734718,-15.273472
16,tegen,-5.5730324,-9.073032,voor,-2.6955743,-15.070575,voor,-3.4988155,-9.748816,voor,-4.0183845,-15.393385,voor,-2.471751,-12.846751,voor,-3.5346584,-13.034658,voor,-4.196036,-11.696035,voor,-2.464637,-14.839637,voor,-2.1278346,-14.752834,voor,-4.7606277,-14.010628,voor,-3.0491316,-15.049131,tegen,-3.6067913,-8.6067915,tegen,-5.676203,-8.801203,voor,-2.6978655,-13.4478655,voor,-4.060216,-10.185216
17,voor,-3.4095776,-14.784577,voor,-1.7015183,-13.951518,voor,-2.3503566,-16.100357,voor,-3.5298145,-17.904814,voor,-1.7015079,-14.451508,voor,-2.1270337,-17.002033,voor,-2.8120415,-13.687041,voor,-2.578974,-14.828974,voor,-2.3502939,-14.725294,voor,-3.2881098,-15.66311,voor,-2.5789676,-14.078967,voor,-2.3503714,-16.35037,voor,-3.7733624,-16.523363,voor,-1.910324,-16.910324,voor,-3.6513753,-16.901375
18,voor,-4.6538,-10.5288,voor,-1.3133738,-13.563374,voor,-3.773554,-15.523554,voor,-3.288104,-15.788104,voor,-1.7015104,-14.32651,voor,-3.651375,-16.901375,voor,-4.141094,-17.766094,voor,-3.4087143,-16.908714,voor,-4.1410913,-17.39109,voor,-4.8826566,-17.632656,voor,-3.5298069,-15.154807,voor,-3.0487835,-16.173784,voor,-4.6356273,-14.385628,voor,-2.1270163,-17.002016,voor,-4.634895,-16.009895
19,voor,-4.0204563,-14.145456,voor,-1.9103013,-14.910301,voor,-2.6950924,-16.445093,voor,-2.8120418,-16.062042,voor,-1.3133681,-14.938368,voor,-2.8120458,-15.062046,voor,-3.048643,-15.048643,voor,-3.0486472,-16.048647,voor,-2.5789533,-15.703954,voor,-4.0181866,-16.393187,voor,-2.3502915,-15.975291,voor,-2.4640918,-15.964092,voor,-3.7733374,-16.648336,voor,-1.3133534,-13.813354,voor,-3.529822,-16.529821
20,voor,-4.549329,-11.924329,voor,-2.1271207,-16.377121,voor,-3.905498,-12.780498,voor,-4.511108,-17.386108,voor,-4.1411366,-16.641136,voor,-3.0487196,-16.54872,voor,-4.0188446,-15.268845,voor,-3.8956316,-16.770632,voor,-3.6514428,-16.276443,voor,-5.131127,-16.256126,voor,-2.8120568,-16.937057,voor,-3.5351667,-13.035167,voor,-4.7609067,-13.760906,voor,-3.7733977,-16.023397,voor,-5.0081215,-14.1331215
21,voor,-3.5666056,-10.066606,voor,-3.2887335,-14.9137335,voor,-2.8205664,-13.445566,voor,-4.264784,-15.014784,voor,-2.2379851,-10.612985,voor,-2.6976125,-13.947613,voor,-3.65307,-14.7780695,voor,-3.8969471,-14.771947,voor,-3.288339,-15.913339,voor,-4.1436105,-14.268611,voor,-3.6546888,-13.529689,voor,-2.819594,-12.944593,voor,-3.974245,-11.224245,voor,-3.4092832,-14.784284,voor,-4.643509,-12.893509
22,voor,-2.5796108,-15.329611,voor,-1.1369785,-14.136978,voor,-1.313447,-16.063446,voor,-2.1270273,-14.5020275,voor,-1.5020218,-14.752022,voor,-2.5789692,-17.45397,voor,-1.9103363,-13.7853365,voor,-1.3133719,-13.313372,voor,-2.127025,-14.127025,voor,-2.8120465,-15.062046,voor,-1.313369,-14.438369,voor,-2.1270823,-16.377083,voor,-1.9103749,-17.035376,voor,-0.9741959,-13.4741955,voor,-2.812052,-17.312052
23,voor,-3.2377646,-11.487764,voor,-1.7016308,-16.326632,voor,-1.3878449,-11.137845,voor,-1.5022573,-15.627257,voor,-0.8263091,-16.07631,voor,-3.41121,-13.66121,voor,-2.936648,-13.686647,voor,-1.5024632,-15.752463,voor,-1.7021078,-15.202107,voor,-2.3503945,-16.475395,voor,-2.127257,-16.127256,voor,-1.91798,-12.79298,voor,-2.701314,-13.076314,voor,-1.13723,-16.13723,voor,-3.4217153,-12.296715
24,tegen,-6.4452424,-9.320242,tegen,-10.159594,-8.659594,tegen,-10.63552,-9.01052,tegen,-10.632741,-8.632741,tegen,-12.391422,-8.766422,tegen,-10.027389,-8.652389,tegen,-10.506527,-9.006527,tegen,-10.388747,-8.888747,tegen,-10.015838,-8.640838,tegen,-11.27699,-8.65199,tegen,-6.6948504,-8.56985,tegen,-10.258621,-8.508621,tegen,-10.138823,-9.138823,tegen,-12.180666,-8.180666,tegen,-11.013362,-9.013362
25,tegen,-9.2599125,-8.8849125,tegen,-8.526921,-8.526921,tegen,-11.901616,-9.151616,tegen,-11.378404,-8.503404,tegen,-11.655183,-8.905183,tegen,-9.639883,-8.389883,tegen,-10.0094595,-8.6344595,tegen,-7.1737213,-8.173721,tegen,-8.167344,-8.042344,tegen,-9.137382,-8.637382,tegen,-6.9368124,-8.311812,tegen,-11.008355,-8.383355,tegen,-9.261213,-8.636213,tegen,-9.800788,-7.800788,tegen,-9.7777195,-8.6527195
26,voor,-2.579437,-14.704437,voor,-1.1369857,-12.886986,voor,-1.7017208,-15.826721,voor,-1.9103105,-13.785311,voor,-1.5020368,-15.127037,voor,-0.6932757,-13.443275,voor,-2.5789666,-14.078966,voor,-2.1270373,-14.502037,voor,-1.3133869,-13.063387,voor,-2.3502774,-15.475278,voor,-1.701533,-13.951533,voor,-1.7016177,-11.576617,voor,-2.1270716,-16.627071,voor,-2.1270168,-17.627016,voor,-3.1680937,-17.043095
27,voor,-2.238136,-15.113136,voor,-0.97419226,-14.599193,voor,-1.7015903,-16.45159,voor,-1.7015163,-13.701516,voor,-0.8260644,-13.951064,voor,-1.1370174,-14.137017,voor,-2.127006,-14.002006,voor,-1.7015357,-14.576536,voor,-1.9103273,-14.785327,voor,-2.578967,-15.203967,voor,-1.9103172,-14.035317,voor,-1.9103775,-11.6603775,voor,-2.350329,-16.600328,voor,-1.5020288,-13.377028,voor,-3.0486782,-13.423678
28,voor,-3.1681092,-16.79311,voor,-1.9103179,-15.910317,voor,-1.9103215,-14.410321,voor,-3.5298014,-17.2798,voor,-1.7014973,-15.826497,voor,-2.8120565,-14.812057,voor,-2.1270182,-15.127018,voor,-2.3503084,-15.975308,voor,-2.5789573,-15.578958,voor,-2.8120298,-17.31203,voor,-2.127015,-15.252015,voor,-1.9103357,-14.035336,voor,-2.1270087,-13.502008,voor,-1.5020319,-14.502032,voor,-2.8120472,-15.312047
29,tegen,-9.385123,-9.010123,tegen,-12.504546,-8.629546,tegen,-11.6270275,-9.6270275,tegen,-14.501471,-8.626471,tegen,-15.127438,-8.752438,tegen,-11.004262,-8.629262,tegen,-13.251669,-9.126669,tegen,-12.878648,-8.503648,tegen,-13.752828,-8.502828,tegen,-14.501184,-9.001184,tegen,-13.881191,-8.881191,tegen,-11.378499,-8.503499,tegen,-12.00215,-9.12715,tegen,-15.260216,-8.260216,tegen,-12.252174,-9.127174
30,voor,-3.8110545,-10.686054,voor,-2.4641018,-12.464102,voor,-3.0499814,-13.549981,voor,-3.895649,-15.520649,voor,-2.0177991,-12.642799,voor,-3.652608,-13.277608,voor,-2.35115,-14.22615,voor,-2.812863,-13.562863,voor,-4.018315,-15.268315,voor,-3.17061,-13.045609,voor,-2.5885334,-11.588533,voor,-2.702386,-11.952386,voor,-3.689387,-10.064387,voor,-3.4087985,-11.283798,voor,-3.8981662,-12.648166
31,voor,-4.453327,-9.453327,voor,-2.9301255,-15.430125,voor,-3.0628738,-11.812874,voor,-4.018214,-17.893215,voor,-3.168079,-16.79308,voor,-3.5299,-15.7799,voor,-3.409016,-15.284016,voor,-3.4088733,-15.533874,voor,-3.89632,-14.27132,voor,-4.2642317,-17.014233,voor,-3.773492,-14.898492,voor,-3.5395741,-11.789574,voor,-4.7598777,-13.509878,voor,-3.5298975,-15.654898,voor,-4.8835983,-13.758598
32,tegen,-5.6950736,-9.070073,tegen,-4.3354683,-8.710468,tegen,-5.3178043,-8.942804,tegen,-6.9147396,-8.91474,tegen,-6.085893,-8.710893,tegen,-6.1902337,-8.815233,tegen,-5.217568,-9.342567,tegen,-5.600132,-8.475132,tegen,-6.0653496,-8.44035,tegen,-9.886832,-9.136832,tegen,-6.5645604,-8.81456,tegen,-5.0978117,-8.347812,tegen,-6.8128476,-8.937848,tegen,-6.123011,-8.123012,tegen,-5.7474985,-9.2474985
