,gpt4o-mini_vote,gpt4o-mini_voor_l_prob,gpt4o-mini_tegen_lprob
0,voor,-0.25204962,-11.377049
1,voor,-0.048687633,-9.923688
2,voor,-0.011102767,-15.261103
3,voor,-0.04864255,-13.048642
4,voor,-0.029817952,-14.154818
5,voor,-0.006787486,-10.256787
6,voor,-0.062035132,-13.562036
7,voor,-0.20151936,-14.576519
8,voor,-0.009224242,-7.5092244
9,voor,-0.043109722,-9.91811
10,voor,-0.033738367,-9.908738
11,voor,-0.07899455,-14.078995
12,voor,-0.008164404,-6.1331644
13,voor,-0.018204147,-11.893204
14,voor,-0.026353363,-12.401354
15,voor,-0.02059538,-13.270596
16,voor,-0.018244999,-10.268245
17,voor,-0.078959845,-12.078959
18,voor,-0.00979965,-12.0098
19,voor,-0.062022693,-13.562023
20,voor,-0.011125163,-10.261126
21,voor,-0.01013391,-8.010134
22,voor,-0.06203927,-12.437039
23,voor,-0.1278586,-7.1278586
24,tegen,-6.007453,-0.007452807
25,tegen,-5.6306367,-0.0056366394
26,voor,-0.12701242,-12.752012
27,voor,-0.048638463,-14.048638
28,voor,-0.07898408,-14.578984
29,tegen,-10.001057,-0.0010569837
30,voor,-0.026399571,-9.9014
31,voor,-0.016088098,-12.8910885
32,tegen,-1.7111197,-0.21111959
33,voor,-0.004119004,-13.379119
34,tegen,-2.931817,-0.056817144
35,voor,-0.023303244,-14.523303
36,voor,-0.016074022,-14.641074
37,voor,-0.47911122,-0.9791112
38,voor,-0.029799672,-15.279799
39,tegen,-2.6988337,-0.073833615
40,voor,-0.023307208,-12.898307
41,voor,-0.011085073,-13.3860855
42,tegen,-10.876342,-0.0013416734
43,voor,-0.014280565,-9.63928
44,tegen,-0.8290068,-0.5790068
45,voor,-0.0552758,-8.055276
46,voor,-0.019262495,-4.3942623
47,voor,-0.03810139,-12.663101
48,tegen,-11.753065,-0.0030646992
49,voor,-0.038091403,-14.163092
50,voor,-0.090026416,-6.9650264
51,tegen,-3.652475,-0.027475042
52,voor,-0.009789974,-14.63479
53,voor,-0.021219268,-7.3962193
54,tegen,-13.626694,-0.0016932694
55,voor,-0.0390135,-7.0390134
56,tegen,-6.8770456,-0.0020458172
57,voor,-0.011082011,-15.261082
58,voor,-0.07895621,-12.953957
59,voor,-0.20727056,-1.7072706
60,voor,-0.16030648,-16.535307
61,voor,-0.00872921,-9.508729
62,voor,-0.013891512,-6.6388917
63,voor,-0.023581566,-8.1485815
64,voor,-0.6982015,-0.6982015
65,voor,-0.009784419,-13.759785
66,voor,-0.014205349,-12.639205
67,voor,-0.12699215,-13.126992
68,voor,-0.01829837,-9.268298
69,voor,-0.12701672,-13.627017
70,voor,-0.004145119,-10.254145
71,voor,-0.10031601,-14.975316
72,voor,-0.023504015,-8.523504
73,voor,-0.07897296,-15.078973
74,voor,-0.008770208,-5.38377
75,voor,-0.018191617,-13.143191
76,voor,-0.005273719,-13.630274
77,voor,-0.02980546,-12.904805
78,voor,-0.062052943,-11.312053
79,voor,-0.018197702,-14.768198
80,tegen,-12.125928,-0.0009282566
81,voor,-0.078965135,-14.078965
82,voor,-0.038096115,-16.663095
83,voor,-0.100292176,-14.100292
84,tegen,-0.9018969,-0.5268969
85,voor,-0.029813439,-14.529814
86,voor,-0.02980384,-14.529804
87,voor,-0.062027734,-14.562028
88,voor,-0.029817834,-11.279818
89,voor,-0.028320288,-4.2783203
90,voor,-0.023310002,-11.14831
91,voor,-0.012553218,-13.012553
92,voor,-0.07896359,-14.453963
93,voor,-0.012546736,-14.762547
94,voor,-0.062035915,-13.187036
95,voor,-0.038086243,-12.038086
96,voor,-0.014215215,-12.139215
97,voor,-0.062040735,-13.06204
98,voor,-0.02980302,-13.154803
99,voor,-0.0298058,-12.154806
100,voor,-0.0041123545,-12.004112
101,voor,-0.014214275,-11.1392145
102,voor,-0.018199576,-13.2682
103,voor,-0.038109083,-11.913109
104,voor,-0.033732835,-10.408732
105,voor,-0.029808005,-14.029808
106,voor,-0.043079805,-11.043079
107,voor,-0.012640902,-9.387641
108,voor,-0.06335127,-2.9383512
109,voor,-0.016082466,-14.016083
110,voor,-0.01779166,-6.3927917
111,voor,-0.06202964,-13.68703
112,voor,-0.003675133,-10.128675
113,voor,-0.009798234,-13.259798
114,voor,-0.02060799,-12.645608
115,voor,-0.020596195,-13.3955965
116,voor,-0.25204194,-14.252042
117,voor,-0.12700012,-13.127
118,voor,-0.12704507,-14.627045
119,voor,-0.018197702,-13.143198
120,voor,-0.12702334,-10.627024
121,voor,-0.0032197798,-11.12822
122,voor,-0.0086663375,-12.258666
123,voor,-0.009790444,-14.13479
124,voor,-0.10028959,-13.100289
125,voor,-0.02982027,-14.02982
126,voor,-0.029800946,-13.779801
127,voor,-0.062042747,-15.312043
128,voor,-0.011216989,-9.011217
129,voor,-0.062026277,-11.437026
130,voor,-0.018200045,-11.8932
131,voor,-0.25935334,-1.8843534
132,tegen,-0.9782709,-0.4782709
133,voor,-0.026692932,-8.026693
134,tegen,-1.913202,-0.16320199
135,voor,-0.10028517,-10.850286
136,voor,-0.021103485,-7.6461034
137,tegen,-2.8137708,-0.06377066
138,voor,-0.078978136,-11.078979
139,voor,-0.16773966,-3.7927396
140,voor,-0.00676001,-11.50676
141,voor,-0.029851966,-9.904852
142,voor,-0.033702757,-15.158703
143,voor,-0.011117737,-10.386118
144,voor,-0.03811608,-10.538116
145,voor,-0.010853383,-6.8858533
146,voor,-0.07896018,-14.07896
147,voor,-0.20151469,-12.076514
148,voor,-0.25201842,-11.502018
149,voor,-0.01819349,-13.018193
150,voor,-0.0052819,-11.005281
151,tegen,-1.9124379,-0.16243792
152,voor,-0.048639145,-12.548639
153,voor,-0.011338639,-8.386338
154,voor,-0.01608763,-16.766088
155,voor,-0.013736661,-6.7637367
156,voor,-0.009156438,-7.634156
157,voor,-0.12702186,-13.627022
158,voor,-0.026350234,-11.65135
159,voor,-0.70188487,-0.70188487
160,voor,-0.36889833,-1.2438984
161,voor,-0.12703131,-14.002031
162,voor,-0.03809646,-11.663096
163,voor,-0.078951046,-11.828951
164,voor,-0.100268036,-14.225268
165,voor,-0.0160732,-15.016073
166,voor,-0.020609159,-14.770609
167,voor,-0.01420935,-12.26421
168,voor,-0.020925345,-8.0209255
169,voor,-0.016079536,-14.89108
170,voor,-0.08417067,-2.5841706
171,voor,-0.029872667,-9.654873
172,voor,-0.055118315,-8.805119
173,voor,-0.03810058,-11.5381
174,tegen,-11.126312,-0.0013124978
175,voor,-0.0486421,-12.548642
176,voor,-0.00490972,-8.2549095
177,voor,-0.012571456,-11.762571
178,voor,-0.02635557,-12.151356
179,voor,-0.018198172,-12.143198
180,voor,-0.057777125,-2.9327772
181,voor,-0.012546854,-14.012547
182,voor,-0.029800138,-15.4048
183,voor,-0.0620395,-14.062039
184,voor,-0.018216552,-10.893216
185,voor,-0.013501126,-5.013501
186,voor,-0.04306873,-11.918069
187,voor,-0.01818764,-14.2681875
188,voor,-0.02636173,-13.276361
189,voor,-0.06203479,-13.812035
190,voor,-0.018202974,-13.018203
191,voor,-0.026355106,-14.901355
